Outbound From,Destination,ArrivalCountry,Inbound To,Departure Date,Return Date,Trip Duration (Days),Outbound Price,Inbound Price,Total Price,IATA_Departure,IATA_Destination,IATA_Return,Outbound Provider,Inbound Provider,Outbound Source Currency,Inbound Source Currency,Round_Trip_Link,Route,AvgPrice,z_score,price_yesterday,price_change_percent
Warszawa,Charleroi,Belgia,Warszawa,2026-07-31,2026-08-07,7,141,161,302,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-07-31&inboundDate=2026-08-07&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Charleroi,345.6666666666667,-1.1835349699089805,307.69,-1.85
Warszawa,Barcelona,Hiszpania,Warszawa,2026-05-27,2026-06-02,6,269,63,332,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-05-27&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,405.030303030303,-1.599314590226359,312.84000000000003,6.12
Warszawa,Barcelona,Hiszpania,Warszawa,2026-07-26,2026-07-28,2,179,170,349,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-07-26&inboundDate=2026-07-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,452.57142857142856,-1.064942017989639,,0.0
Warszawa,Barcelona,Hiszpania,Warszawa,2026-07-25,2026-07-28,3,179,170,349,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-07-25&inboundDate=2026-07-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,452.57142857142856,-1.064942017989639,,0.0
Warszawa,Barcelona,Hiszpania,Warszawa,2026-07-17,2026-07-21,4,179,170,349,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-07-17&inboundDate=2026-07-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,452.57142857142856,-1.064942017989639,,0.0
Warszawa,Barcelona,Hiszpania,Warszawa,2026-07-24,2026-07-28,4,179,170,349,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-07-24&inboundDate=2026-07-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,452.57142857142856,-1.064942017989639,,0.0
Warszawa,Barcelona,Hiszpania,Warszawa,2026-07-22,2026-07-25,3,179,170,349,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-07-22&inboundDate=2026-07-25&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,452.57142857142856,-1.064942017989639,,0.0
Warszawa,Barcelona,Hiszpania,Warszawa,2026-07-20,2026-07-25,5,179,170,349,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-07-20&inboundDate=2026-07-25&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,452.57142857142856,-1.064942017989639,,0.0
Warszawa,Barcelona,Hiszpania,Warszawa,2026-07-21,2026-07-28,7,179,170,349,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-07-21&inboundDate=2026-07-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,452.57142857142856,-1.064942017989639,,0.0
Warszawa,Barcelona,Hiszpania,Warszawa,2026-05-26,2026-05-28,2,179,170,349,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-05-26&inboundDate=2026-05-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,405.030303030303,-1.2270260071902646,349.31,-0.09
