Outbound From,Destination,ArrivalCountry,Inbound To,Departure Date,Return Date,Trip Duration (Days),Outbound Price,Inbound Price,Total Price,IATA_Departure,IATA_Destination,IATA_Return,Outbound_Link,Inbound_Link,Round_Trip_Link,Route,Month,AvgPrice,StdDev,z_score
Poznan,Rhodes,Greece,Warsaw,2025-10-14,2025-10-16,2,850,437,1287,POZ,RHO,WAW,https://www.skyscanner.pl/transport/loty/POZ/RHO/251014/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/RHO/WAW/251016/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,,Poznan-Rhodes,2025-10,1534.979274611399,218.4154813306227,-1.1353557591278276
Poznan,Heraklion,Greece,Warsaw,2025-10-04,2025-10-08,4,419,441,860,POZ,HER,WAW,https://www.skyscanner.pl/transport/loty/POZ/HER/251004/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/HER/WAW/251008/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,,Poznan-Heraklion,2025-10,1096.0494505494505,207.92086460700108,-1.1352850566277526
Poznan,Heraklion,Greece,Warsaw,2025-10-01,2025-10-06,5,419,441,860,POZ,HER,WAW,https://www.skyscanner.pl/transport/loty/POZ/HER/251001/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/HER/WAW/251006/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,,Poznan-Heraklion,2025-10,1096.0494505494505,207.92086460700108,-1.1352850566277526
Poznan,Heraklion,Greece,Warsaw,2025-10-19,2025-10-22,3,577,283,860,POZ,HER,WAW,https://www.skyscanner.pl/transport/loty/POZ/HER/251019/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/HER/WAW/251022/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,,Poznan-Heraklion,2025-10,1096.0494505494505,207.92086460700108,-1.1352850566277526
Poznan,Heraklion,Greece,Warsaw,2025-10-08,2025-10-13,5,419,441,860,POZ,HER,WAW,https://www.skyscanner.pl/transport/loty/POZ/HER/251008/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/HER/WAW/251013/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,,Poznan-Heraklion,2025-10,1096.0494505494505,207.92086460700108,-1.1352850566277526
Poznan,Heraklion,Greece,Warsaw,2025-10-04,2025-10-06,2,419,441,860,POZ,HER,WAW,https://www.skyscanner.pl/transport/loty/POZ/HER/251004/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/HER/WAW/251006/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,,Poznan-Heraklion,2025-10,1096.0494505494505,207.92086460700108,-1.1352850566277526
Poznan,Heraklion,Greece,Warsaw,2025-10-01,2025-10-08,7,419,441,860,POZ,HER,WAW,https://www.skyscanner.pl/transport/loty/POZ/HER/251001/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/HER/WAW/251008/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,,Poznan-Heraklion,2025-10,1096.0494505494505,207.92086460700108,-1.1352850566277526
Poznan,Heraklion,Greece,Warsaw,2025-10-17,2025-10-22,5,577,283,860,POZ,HER,WAW,https://www.skyscanner.pl/transport/loty/POZ/HER/251017/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/HER/WAW/251022/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,,Poznan-Heraklion,2025-10,1096.0494505494505,207.92086460700108,-1.1352850566277526
Poznan,Heraklion,Greece,Warsaw,2025-10-18,2025-10-22,4,577,283,860,POZ,HER,WAW,https://www.skyscanner.pl/transport/loty/POZ/HER/251018/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/HER/WAW/251022/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,,Poznan-Heraklion,2025-10,1096.0494505494505,207.92086460700108,-1.1352850566277526
Warsaw,Rhodes,Greece,Warsaw,2025-10-14,2025-10-19,5,303,518,821,WAW,RHO,WAW,https://www.skyscanner.pl/transport/loty/WAW/RHO/251014/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/RHO/WAW/251019/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/WAW/RHO/251014/251019/?adultsv2=1&cabinclass=economy&childrenv2=&ref=home&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false,Warsaw-Rhodes,2025-10,1022.2717391304348,177.37137128061102,-1.1347476071096732
